Municipality,Category,Resource Name,URL,Notes
Adams County (Unincorporated),Property Assessment,Assessor Property Lookup,https://adcogov.org/property-look,Primary parcel/property search tool for all of Adams County
Adams County (Unincorporated),Property Assessment,Assessor GIS QuickSearch,https://gisapp.adcogov.org/quicksearch/,Address or parcel-based search with map
Adams County (Unincorporated),Property Assessment,Assessor Main Page,https://adcogov.org/assessor,Assessor office info and resources
Adams County (Unincorporated),Property Assessment,NOV / Online Appeals Portal,https://assessor.adcogov.org/,Notice of Valuation and assessment appeals
Adams County (Unincorporated),Property Assessment,Public Data Download,https://assessornovs.adcogov.org/adamscountynovs,Weekly-updated bulk assessor data download
Adams County (Unincorporated),Property Tax / Treasurer,Treasurer Division,https://adamscountyco.gov/our-county/elected-officials/treasurer-public-trustee/treasurer-division/,Main treasurer page
Adams County (Unincorporated),Property Tax / Treasurer,Online Tax Payment,https://adcotax.com/treasurer/web/login.jsp,Pay property taxes online
Adams County (Unincorporated),Property Tax / Treasurer,Property Tax Inquiry,https://adamsil.devnetwedge.com/,Look up tax balances and payment history
Adams County (Unincorporated),Property Tax / Treasurer,Taxing Authorities / Mill Levy,https://adamscountyco.gov/our-county/elected-officials/treasurer-public-trustee/treasurer-division/property-tax-information/taxing-authorities/,Mill levy lookup by taxing district
Adams County (Unincorporated),Property Tax / Treasurer,DOLA Division of Property Taxation,https://dpt.colorado.gov/locality/adams-county-treasurer,Colorado state-level property tax data for Adams County
Adams County (Unincorporated),Property Tax / Treasurer,DOLA Mill Levy Public Info (HB24-1302),https://dlg.colorado.gov/hb24-1302-mill-levy-public-information,Statewide mill levy transparency portal
Adams County (Unincorporated),Deed / Title Records,Clerk & Recorder Recording Page,https://adcogov.org/recording,Official recording office
Adams County (Unincorporated),Deed / Title Records,Landmark Web Document Search,https://recording.adcogov.org/landmarkweb,Grantor/Grantee deed search
Adams County (Unincorporated),Deed / Title Records,Public Records / Recorded Documents,https://adamscountyco.gov/service/find-public-records-recorded-documents/,How to find recorded docs
Adams County (Unincorporated),Deed / Title Records,E-Recording,https://www.adcogov.org/e-recording,Electronic document recording
Adams County (Unincorporated),GIS / Mapping,Advanced GIS Map Viewer,https://gisapp.adcogov.org/Html5Viewer/index.html?viewer=AdvancedExt.Advanced_HTML,Full-featured interactive map
Adams County (Unincorporated),GIS / Mapping,Open Data Hub (ArcGIS),https://data-adcogov.opendata.arcgis.com/,Downloadable datasets including zoning, parcels, flood zones
Adams County (Unincorporated),GIS / Mapping,GIS Interactive Maps Page,https://adamscountyco.gov/service/gis-interactive-maps/,Links to all county GIS tools
Adams County (Unincorporated),Permits,E-Permit Center (Accela),https://aca-prod.accela.com/ADAMSCO/Default.aspx,Online permit applications and search
Adams County (Unincorporated),Permits,E-Permit Center Landing,https://epermits.adcogov.org/,Permit portal landing page
Adams County (Unincorporated),Permits,Building Safety,https://adcogov.org/building-safety,Building department info
Adams County (Unincorporated),Code Enforcement,Eye on Adams (Permits + Violations),https://adamscounty.buildingeye.com/,Track permits and code enforcement cases
Adams County (Unincorporated),Code Enforcement,Code Violations Enforcement Search,https://adamscounty.buildingeye.com/enforcement,Violation lookup only
Adams County (Unincorporated),Code Enforcement,Neighborhood Services,https://adcogov.org/neighborhood-services,Report and track code complaints
Adams County (Unincorporated),Zoning / Planning,Planning & Development Main Page,https://adamscountyco.gov/our-county/community-economic-development/planning-development/,Unincorporated area zoning authority
Adams County (Unincorporated),Zoning / Planning,Zoning Dataset (ArcGIS Open Data),https://data-adcogov.opendata.arcgis.com/datasets/ADCOGOV::zoning/about,Downloadable zoning GIS layer
Adams County (Unincorporated),Zoning / Planning,Development Standards & Regulations,https://online.encodeplus.com/regs/adamscounty-co/doc-viewer.aspx?secid=6410,Online land development code
Adams County (Unincorporated),Flood Zone,Floodplain Management Page,https://adamscountyco.gov/our-county/community-economic-development/floodplain-management/,County floodplain administrator
Adams County (Unincorporated),Flood Zone,Flood Zones GIS Dataset,https://data-adcogov.opendata.arcgis.com/datasets/flood-zones,Downloadable FEMA flood zone layer
Adams County (Unincorporated),Flood Zone,FEMA Map Service Center,https://msc.fema.gov/,Official FEMA FIRM lookup by address
Adams County (Unincorporated),Flood Zone,Colorado Hazard Mapping / RiskMAP,https://coloradohazardmapping.com/hazardMapping/floodplainMapping,State-level flood mapping portal
Adams County (Unincorporated),Flood Zone,FEMA National Flood Hazard Layer,https://www.fema.gov/flood-maps/national-flood-hazard-layer,National FEMA flood layer viewer
Adams County (Unincorporated),Comprehensive Plan,Advancing Adams Comprehensive Plan,https://adamscountyco.gov/our-county/community-economic-development/advancing-adams/comprehensive-plan/,County master plan
Adams County (Unincorporated),Comprehensive Plan,Master Plans & Maps,https://adcogov.org/master-plans-maps,All county master plans
Adams County (Unincorporated),Comprehensive Plan,Sustainable Adams County 2030 Plan,https://adamscountyco.gov/wp-content/uploads/2026/01/CED-2030-Sustainability-Plan-011426.pdf,2030 sustainability/land use plan PDF
Adams County (Unincorporated),Economic Development,Community & Economic Development (CEDD),https://adamscountyco.gov/our-county/community-economic-development/,County economic dev office
Adams County (Unincorporated),Economic Development,ChooseAdams,https://chooseadams.org/business-services/,Business attraction portal
Adams County (Unincorporated),Economic Development,Adams County EDC,https://adamscountyedc.com/,Economic Development Corporation
Adams County (Unincorporated),Economic Development,2025 Economic Profile,https://adamscountyco.gov/wp-content/uploads/2025/11/2025-Adams-County-Economic-Profile-CED.pdf,Annual economic profile PDF
Adams County (Unincorporated),Public Works / ROW,Public Works,https://adcogov.org/public-works,ROW permits and infrastructure info
Brighton,Property Assessment,Adams County Assessor (Property Lookup),https://adcogov.org/property-look,Brighton is fully within Adams County
Brighton,Property Tax / Treasurer,Online Tax Payment,https://adcotax.com/treasurer/web/login.jsp,Adams County tax payment portal
Brighton,Property Tax / Treasurer,Property Tax Inquiry,https://adamsil.devnetwedge.com/,Tax balance and history lookup
Brighton,Deed / Title Records,Landmark Web Document Search,https://recording.adcogov.org/landmarkweb,Adams County deed/title records
Brighton,GIS / Mapping,GIS Division,https://www.brightonco.gov/248/Geographic-Information-Systems,Brighton GIS maps and data
Brighton,GIS / Mapping,Interactive Development Map,https://www.brightonco.gov/1596/Interactive-Development-Map,Active development projects map
Brighton,Permits,Permitting Portal,https://www.brightonco.gov/222/Permitting,Building permit applications and search
Brighton,Permits,Inspections,https://www.brightonco.gov/1130/Inspections,Schedule and track inspections
Brighton,Permits,Land Use & Development Applications,https://www.brightonco.gov/1142/Land-Use-Development-Applications,Development application tracker
Brighton,Permits,Development Services,https://www.brightonco.gov/1162/Development-Services,Development services department
Brighton,Permits,Permit Reports (Commercial/Residential),https://brightonco.gov/1143/Reports,Issued permit statistics
Brighton,Zoning / Planning,Planning & Zoning Main Page,https://www.brightonco.gov/224/Planning-Zoning,Zoning information and staff contacts
Brighton,Zoning / Planning,Land Use & Development Code,https://www.brightonco.gov/363/Land-Use-Development-Code,Brighton's zoning code (Article 17 of Municipal Code)
Brighton,Zoning / Planning,Long Range Planning / Comprehensive Plan,https://www.brightonco.gov/553/Long-Range-Planning,Be Brighton Comprehensive Plan
Brighton,Flood Zone,FEMA Map Service Center,https://msc.fema.gov/,Address-specific FEMA FIRM lookup
Brighton,Flood Zone,Adams County Floodplain Management,https://adamscountyco.gov/our-county/community-economic-development/floodplain-management/,County floodplain resources
Brighton,Crime / Safety,Weekly Crime Reports & Crime Map,https://www.brightonco.gov/1862/Weekly-Crime-Reports-Crime-Map,Brighton PD crime map and reports
Brighton,Public Records,Requesting Records (CORA),https://www.brightonco.gov/213/Requesting-Records-Information,Public records request process
Brighton,School Districts,School District 27J (Brighton),https://www.sd27j.org/,Primary school district for Brighton
Commerce City,Property Assessment,Adams County Assessor (Property Lookup),https://adcogov.org/property-look,Commerce City is fully within Adams County
