Municipality,Type,County Jurisdiction,Property Information Website,Property Information Website 2,Zoning Website,Zoning Website 2,Notes
Adams County (Unincorporated),County,Adams County,https://adcogov.org/property-look,https://gisapp.adcogov.org/quicksearch/,https://adamscountyco.gov/our-county/community-economic-development/planning-development/,https://data-adcogov.opendata.arcgis.com/datasets/ADCOGOV::zoning/about,Covers all unincorporated areas including Henderson, Welby, Sherrelwood, Derby, Todd Creek, Barr Lake area, etc.
Brighton,City (County Seat),Adams County,https://adcogov.org/property-look,,https://www.brightonco.gov/224/Planning-Zoning,https://www.brightonco.gov/248/Geographic-Information-Systems,Land Use & Development Code: https://www.brightonco.gov/363/Land-Use-Development-Code
Commerce City,City,Adams County,https://adcogov.org/property-look,https://www.c3gov.com/Business-Development/eTRAKiT-Portal,https://www.c3gov.com/Residents/Maps-Data-GIS,https://data-c3.opendata.arcgis.com/,Land Development Code: https://www.c3gov.com/Government/City-Codes/Land-Development-Code
Federal Heights,City,Adams County,https://adcogov.org/property-look,,https://www.fedheights.org/planning,https://library.municode.com/co/federal_heights,Zoning info: https://www.fedheights.org/index.asp?SEC=D7AA9940-8607-468A-8215-7308DD3BF799&Type=B_BASIC
Northglenn,City,Adams County,https://adcogov.org/property-look,,https://secure.northglenn.org/quickzone,https://www.northglenn.org/government/land_use_and_zoning/zoning_map.php,QuickZone tool allows address-based zoning lookup instantly; main page: https://www.northglenn.org/government/land_use_and_zoning/
Thornton,City,Adams County,https://cityviewportal.thorntonco.gov/Property,https://adcogov.org/property-look,https://www.thorntonco.gov/business-development/city-development/current-planning-zoning,https://data-cityofthornton.opendata.arcgis.com/,Zoning districts detail: https://www.thorntonco.gov/business-development/city-development/current-planning-zoning/zoning-districts-uses-and-regulations
Westminster,City,Adams County + Jefferson County,https://develop.cityofwestminster.us/ETRAKIT/Search/parcel.aspx,https://adcogov.org/property-look,https://maps.cityofwestminster.us/portal/apps/webappviewer/index.html?id=840164f9c48d49109f884695afe3f714,https://opendata-westminster.hub.arcgis.com/,Straddles Adams & Jefferson counties. Use Adams Co. Assessor for east parcels; Jefferson Co. Assessor (https://propertysearch.jeffco.us/) for west parcels.
Aurora,City,Adams County + Arapahoe County + Douglas County,https://ags.auroragov.org/propinfo/propinfo.html,https://adcogov.org/property-look,https://zoning.auroragov.org/,https://www.auroragov.org/city_hall/maps/planning_and_zoning_maps,Spans 3 counties. Use correct county assessor per parcel location. Arapahoe Assessor: https://www.arapahoegov.com/assessor
Bennett,Town,Adams County,https://adcogov.org/property-look,,https://www.bennettco.gov/planning-economic-development/page/planning-and-zoning,https://www.bennettco.gov/business/page/bennett-zoning-map,Zoning governed by Chapter 16 of Municipal Code
Lochbuie,Town,Adams County + Weld County,https://adcogov.org/property-look,https://www.weld.gov/Government/Departments/Assessor/Property-Data-Search,https://www.lochbuie.org/administration/page/zoning-map,,Straddles Adams & Weld counties. Use correct county assessor per parcel location.
Arvada,City,Jefferson County (small Adams Co. portion),https://www.arvadaco.gov/702/Maps-and-Property-Search,https://adcogov.org/property-look,https://www.arvadaco.gov/168/Zoning,,Primarily Jefferson County; only a small eastern portion falls within Adams County. Jefferson Co. Assessor: https://propertysearch.jeffco.us/
